1,ChIJ_2LvSyf2AzQRpjgC1ySZR6E,ChIJGYqvpKgIBDQRUqz76fr9fus,37805,2,4
2,EkLlubMsIFBpbmcgVGluIENvbW1lcmNpYWwgQ29tcGxleCwgMjMgT24gVGluIFN0LCBMYW0gVGluLCBIb25nIEtvbmciHxodChYKFAoSCa0vvu1YAQQ0EcQcgfYcb_q2EgPlubM,ChIJY_swtNEABDQR9DvdWF424kU,26634,1,2
3,ChIJY_swtNEABDQR9DvdWF424kU,ChIJsUTxGdsGBDQRuMrIipHUdtQ,42977,1,4
4,ChIJB1AdJrEABDQRUIJSzmRHI9E,ChIJQVFztncBBDQRtOsOMnbdMWg,17889,1,1
5,ChIJQVFztncBBDQRtOsOMnbdMWg,ChIJ43cLhBsABDQR39TRZzWP4N0,31760,1,3
6,ChIJ43cLhBsABDQR39TRZzWP4N0,ChIJB1AdJrEABDQRUIJSzmRHI9E,41892,1,4
7,ChIJ8Z56pwYABDQRvk5BY_c4JTc,ChIJAZeIe98ABDQRfikOvz4Zzpk,42698,10,4
8,ChIJAZeIe98ABDQRfikOvz4Zzpk,ChIJ8Z56pwYABDQRvk5BY_c4JTc,62721,10,4
9,ChIJFymyfXcBBDQRnMJWzxiFBec,ChIJ27EwOlsBBDQR4-xBtkFOqB4,18784,1,2
10,ChIJB9KkU1oBBDQRyMkv-OSTc1M,ChIJFymyfXcBBDQRnMJWzxiFBec,27382,1,3
11,ChIJFymyfXcBBDQRnMJWzxiFBec,ChIJ27EwOlsBBDQR4-xBtkFOqB4,40877,1,4
12,ChIJFZhxNRYGBDQRnqmv0hFgwzY,ChIJFTcnqK0HBDQRdC7jGqw4Cd4,38357,1,4
13,ChIJFTcnqK0HBDQRdC7jGqw4Cd4,ChIJFZhxNRYGBDQRnqmv0hFgwzY,51517,2,4
14,ChIJv0Jh1KgIBDQRsWgRS4zW7vQ,ChIJNZhTbOcGBDQRiKmEVo8I_EY,20222,1,2
15,ChIJy5w7ekwBBDQRNm-U5N2U6UY,ChIJGwWieisHBDQRpA0wCo1WFLc,43072,1,4
16,ChIJGwWieisHBDQRpA0wCo1WFLc,ChIJy5w7ekwBBDQRNm-U5N2U6UY,49586,1,4
17,ChIJsRhi4AsEBDQRUICy1eIXrD4,ChIJB9KkU1oBBDQRyMkv-OSTc1M,33832,2,3
18,ChIJB9KkU1oBBDQRyMkv-OSTc1M,ChIJsRhi4AsEBDQRUICy1eIXrD4,43122,2,4
19,ChIJMTMbVi33AzQRgo65Ul9OsVE,ChIJD4Yu9IDwAzQRe39BmjUPQpU,18582,1,2
20,ChIJXTPmH9UABDQRKdbaEZMw-pc,ChIJtXEoa8IABDQRqv1da3ljzeA,10040,1,1
21,ChIJnRD-1t8DBDQRQOspZ9CAUss,ChIJKVj6--wABDQRaj8-Kr6Sa7s,14285,1,1
22,ChIJKVj6--wABDQRaj8-Kr6Sa7s,ChIJnRD-1t8DBDQRQOspZ9CAUss,23329,1,2
23,ChIJBYGT2HUBBDQRrfe3NPR04xM,ChIJwQL591wABDQRUHuqKMTwyLs,44866,2,4
24,ChIJSbDMH7kABDQRcXjDg66upPw,ChIJ0cVQvbIABDQRmU9l66VCj-0,28426,3,3
25,ChIJ0cVQvbIABDQRmU9l66VCj-0,ChIJp4NnsfMABDQRyQLUySCwRNo,36668,3,4
26,ChIJp4NnsfMABDQRyQLUySCwRNo,ChIJSbDMH7kABDQRcXjDg66upPw,44742,3,4
27,ChIJwQ58V_EDBDQR9iK1nfxxDdQ,ChIJb4OFHJcDBDQRtxmWPXuxVuc,15616,2,1
28,ChIJOwsGL7oHBDQRlE46H01hSf8,ChIJL1hhub8FBDQRcl67v4pz-eI,9996,3,1
29,ChIJf9glLBQGBDQRdnbWkcKBcP4,ChIJy4IwHbr4AzQRB_M2FnO5aeg,41342,1,4
30,ChIJ_2LvSyf2AzQRpjgC1ySZR6E,ChIJiw0O5hYKBDQRU7I9NhyGHuo,55587,1,4
31,ChIJa_hILc4ABDQRsLuzaIS4MhU,ChIJtXEoa8IABDQRqv1da3ljzeA,31540,3,3
32,ChIJdajlMqDwAzQRT6A7Kd80XjI,ChIJfbrDHAMBBDQRZvgkbFAX8ds,15540,3,1
33,ChIJtVnU_00HBDQRrgNltbct93A,ChIJE7FigdviAzQRyiBbr0qeJNY,35544,2,3
34,ChIJjRkw7c8GBDQRoL6Dla0-kTM,ChIJC6L1BnYEBDQR_2INiwu_5uA,32028,2,3
35,ChIJqeYcwnUBBDQRGWxxya6lTRI,ChIJbxhkDlUHBDQRQG847cHG-iU,27658,1,3
36,ChIJbxhkDlUHBDQRQG847cHG-iU,ChIJsS4o6wMBBDQRcr9mVQnVxtc,43724,1,4
37,ChIJiXRjKev_AzQRsyRRNB78rKs,ChIJE5gL8W6qBjQRaM7F4e1hs2Y,14477,2,1
38,ChIJE5gL8W6qBjQRaM7F4e1hs2Y,ChIJiXRjKev_AzQRsyRRNB78rKs,52691,2,4
39,ChIJWxeMvnMBBDQR6NU8E5SA_xc,ChIJgVf8FlAIBDQRUTK3QWFEyno,29934,1,3
40,ChIJgVf8FlAIBDQRUTK3QWFEyno,ChIJWxeMvnMBBDQR6NU8E5SA_xc,62291,1,4
41,ChIJ_wcQwmPwAzQREridmnBsv6Y,ChIJ2yF2fkkIBDQRlyfZn7DilpU,22324,1,2
42,ChIJtWFnW98DBDQRoAYNKzWjNxM,ChIJsWTfPNAGBDQRjmsMMUmZTFc,27291,1,3
43,ChIJXbsTIz77AzQRPy2CecUEhQ8,ChIJa2FeDL34AzQRru0aaOu4L1c,12950,1,1
44,ChIJa2FeDL34AzQRru0aaOu4L1c,ChIJXbsTIz77AzQRPy2CecUEhQ8,41096,1,4
45,ChIJf9glLBQGBDQRdnbWkcKBcP4,ChIJ6ZJfeR_2AzQRTEMeSF7Gwjo,21496,2,2
46,ChIJ6ZJfeR_2AzQRTEMeSF7Gwjo,ChIJf9glLBQGBDQRdnbWkcKBcP4,43223,2,4
47,ChIJBeQORwwBBDQRhby8M2pXgOc,ChIJXTTeknwABDQRXFdU3HNixTA,36000,3,3
48,ChIJpfFVGRX7AzQR2H9U1WMFA1M,ChIJhVuYpEYIBDQR0gzn92TxfUQ,19872,2,2
49,ChIJlVCK4R4ABDQRtCCW_FlHlmc,ChIJDzcR5pv4AzQR3gvH8-FcUV4,33316,3,3
50,ChIJDzcR5pv4AzQR3gvH8-FcUV4,ChIJlVCK4R4ABDQRtCCW_FlHlmc,40740,3,4
51,ChIJAQZ8mrgABDQRMt3J1PQ-mEU,ChIJ8_FWqngABDQRcPCy-6lp6Xk,20204,1,2
52,ChIJ8_FWqngABDQRcPCy-6lp6Xk,ChIJ20DFxy73AzQRQBb3mlM53wI,37214,3,4
53,ChIJub5RQ5TwAzQR8D5ylE9dpkk,ChIJlVCK4R4ABDQRtCCW_FlHlmc,32513,2,3
